#   nm   Flux(mW/m2/cm) for star #20
   342.5   0.000215
   347.5   0.000215
   352.5   0.000216
   357.5   0.000217
   362.5   0.000228
   367.5   0.000241
   372.5   0.000243
   377.5   0.000258
   382.5   0.000290
   387.5   0.000306
   392.5   0.000287
   397.5   0.000336
   402.5   0.000402
   407.5   0.000379
   412.5   0.000392
   417.5   0.000400
   422.5   0.000395
   427.5   0.000368
   432.5   0.000339
   437.5   0.000373
   442.5   0.000384
   447.5   0.000388
   452.5   0.000386
   457.5   0.000386
   462.5   0.000381
   467.5   0.000373
   472.5   0.000367
   477.5   0.000364
   482.5   0.000341
   487.5   0.000323
   492.5   0.000348
   497.5   0.000344
   502.5   0.000338
   507.5   0.000334
   512.5   0.000328
   517.5   0.000322
   522.5   0.000316
   527.5   0.000315
   532.5   0.000312
   537.5   0.000306
   542.5   0.000305
   547.5   0.000300
   552.5   0.000297
   557.5   0.000294
   562.5   0.000291
   567.5   0.000287
   572.5   0.000287
   577.5   0.000282
   582.5   0.000278
   587.5   0.000274
   592.5   0.000269
   597.5   0.000262
   602.5   0.000258
   607.5   0.000254
   612.5   0.000248
   617.5   0.000243
   622.5   0.000239
   627.5   0.000236
   632.5   0.000233
   637.5   0.000232
   642.5   0.000228
   647.5   0.000225
   652.5   0.000212
   657.5   0.000207
   662.5   0.000218
   667.5   0.000216
   672.5   0.000212
   677.5   0.000211
   682.5   0.000204
   687.5   0.000200
   692.5   0.000198
   697.5   0.000195
   702.5   0.000195
   707.5   0.000192
   712.5   0.000187
   717.5   0.000183
   722.5   0.000182
   727.5   0.000180
   732.5   0.000176
   737.5   0.000173
   742.5   0.000171
   747.5   0.000168
   752.5   0.000166

